subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	date	creator_id	subject_source_version	object_source_version
CO_335:0000764	Geometric mean of days to physiological maturity	skos:exactMatch	TO:0000469	days to maturity	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_335-common-bean-traits/7d287460e658d6116e6b23b01a02451d003c2d0b/Common_bean_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_335:0000765	Geometric mean of hundred seed weight	skos:exactMatch	TO:0000181	seed weight	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_335-common-bean-traits/7d287460e658d6116e6b23b01a02451d003c2d0b/Common_bean_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_335:0000766	Geometric mean of seed yield	skos:exactMatch	TO:0000905	seed yield trait	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_335-common-bean-traits/7d287460e658d6116e6b23b01a02451d003c2d0b/Common_bean_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_335:0000767	Seed yield drought susceptibility index	skos:exactMatch	TO:0000188	drought sensitivity	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_335-common-bean-traits/7d287460e658d6116e6b23b01a02451d003c2d0b/Common_bean_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_335:0000768	Canopy width	skos:exactMatch	TO:0006062	plant width	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_335-common-bean-traits/7d287460e658d6116e6b23b01a02451d003c2d0b/Common_bean_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_335:0000769	Dead leaf biomass at R8	skos:exactMatch	TO:0000457	total biomass yield	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_335-common-bean-traits/7d287460e658d6116e6b23b01a02451d003c2d0b/Common_bean_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_335:0000770	Hundred seed weight	skos:exactMatch	TO:0000181	seed weight	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_335-common-bean-traits/7d287460e658d6116e6b23b01a02451d003c2d0b/Common_bean_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_335:0000771	Leaf area	skos:exactMatch	TO:0012001	leaf area index	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_335-common-bean-traits/7d287460e658d6116e6b23b01a02451d003c2d0b/Common_bean_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_335:0000772	Leaf area index	skos:exactMatch	TO:0012001	leaf area index	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_335-common-bean-traits/7d287460e658d6116e6b23b01a02451d003c2d0b/Common_bean_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_335:0000777	Plant leaf area	skos:exactMatch	TO:0000540	leaf area trait	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_335-common-bean-traits/7d287460e658d6116e6b23b01a02451d003c2d0b/Common_bean_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
